"Pathway","Total","Expected","Hits","P.Value","FDR"
"Cyclin E associated events during G1/S transition ",65,29.2,56,4.71e-12,1.16e-10
"Disease",945,424,521,6.85e-12,1.66e-10
"Signaling by EGFR in Cancer",181,81.3,126,9.04e-12,2.15e-10
"Regulation of APC/C activators between G1/S and early anaphase",84,37.7,68,9.85e-12,2.3e-10
"Signaling by SCF-KIT",142,63.8,103,1.49e-11,3.41e-10
"Fcgamma receptor (FCGR) dependent phagocytosis",86,38.6,69,1.53e-11,3.46e-10
"CDT1 association with the CDC6:ORC:origin complex",57,25.6,50,1.59e-11,3.54e-10
"Antiviral mechanism by IFN-stimulated genes",69,31,58,1.68e-11,3.63e-10
"ISG15 antiviral mechanism",69,31,58,1.68e-11,3.63e-10
"Activation of NF-kappaB in B Cells",66,29.6,56,1.75e-11,3.72e-10
"Signaling by EGFR",179,80.4,124,2.25e-11,4.71e-10
"Transcriptional Regulation of White Adipocyte Differentiation",56,25.2,49,3.14e-11,6.48e-10
"TRAF6 Mediated Induction of proinflammatory cytokines",62,27.8,53,3.41e-11,6.93e-10
"Late Phase of HIV Life Cycle",108,48.5,82,3.8e-11,7.6e-10
"Membrane Trafficking",203,91.2,137,3.88e-11,7.66e-10
"SCF(Skp2)-mediated degradation of p27/p21",58,26.1,50,6.52e-11,1.27e-09
"Signaling by FGFR in disease",178,79.9,122,9.94e-11,1.91e-09
"Innate Immune System",521,234,304,1.03e-10,1.95e-09
"HIV Life Cycle",128,57.5,93,1.27e-10,2.37e-09
"Metabolism of RNA",339,152,209,1.58e-10,2.91e-09
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",76,34.1,61,2.31e-10,4.21e-09
"SCF-beta-TrCP mediated degradation of Emi1",53,23.8,46,2.38e-10,4.27e-09
"Regulation of Apoptosis",59,26.5,50,2.41e-10,4.28e-09
"L1CAM interactions",112,50.3,83,2.45e-10,4.3e-09
"MyD88:Mal cascade initiated on plasma membrane",81,36.4,64,2.89e-10,4.83e-09
"Toll Like Receptor TLR1:TLR2 Cascade",81,36.4,64,2.89e-10,4.83e-09
"Toll Like Receptor TLR6:TLR2 Cascade",81,36.4,64,2.89e-10,4.83e-09
"Toll Like Receptor 2 (TLR2) Cascade",81,36.4,64,2.89e-10,4.83e-09
"Signaling by ERBB4",152,68.3,106,3.56e-10,5.87e-09
"Toll-Like Receptors Cascades",123,55.2,89,4.56e-10,7.44e-09
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",77,34.6,61,6.27e-10,9.87e-09
"Toll Like Receptor 7/8 (TLR7/8) Cascade",77,34.6,61,6.27e-10,9.87e-09
"MyD88 dependent cascade initiated on endosome",77,34.6,61,6.27e-10,9.87e-09
"Destabilization of mRNA by AUF1 (hnRNP D0)",54,24.3,46,9.07e-10,1.41e-08
"Toll Like Receptor 9 (TLR9) Cascade",79,35.5,62,9.16e-10,1.41e-08
"Autodegradation of Cdh1 by Cdh1:APC/C",68,30.5,55,1.05e-09,1.6e-08
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",76,34.1,60,1.12e-09,1.65e-08
"APC/C:Cdc20 mediated degradation of mitotic proteins",76,34.1,60,1.12e-09,1.65e-08
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",76,34.1,60,1.12e-09,1.65e-08
"Downstream signal transduction",163,73.2,111,1.28e-09,1.87e-08
"G1/S DNA Damage Checkpoints",62,27.8,51,1.38e-09,1.97e-08
"Regulation of actin dynamics for phagocytic cup formation",62,27.8,51,1.38e-09,1.97e-08
"Recycling pathway of L1",44,19.8,39,1.52e-09,2.15e-08
"Vpu mediated degradation of CD4",50,22.5,43,1.75e-09,2.46e-08
"Intrinsic Pathway for Apoptosis",37,16.6,34,1.94e-09,2.69e-08
"DNA Repair",117,52.6,84,2.66e-09,3.65e-08
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",43,19.3,38,3.03e-09,4.12e-08
"MAP kinase activation in TLR cascade",55,24.7,46,3.13e-09,4.22e-08
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A",52,23.4,44,3.32e-09,4.28e-08
"p53-Independent DNA Damage Response",52,23.4,44,3.32e-09,4.28e-08
"p53-Independent G1/S DNA damage checkpoint",52,23.4,44,3.32e-09,4.28e-08
"Ubiquitin-dependent degradation of Cyclin D1",49,22,42,3.39e-09,4.28e-08
"CDK-mediated phosphorylation and removal of Cdc6",49,22,42,3.39e-09,4.28e-08
"Ubiquitin-dependent degradation of Cyclin D",49,22,42,3.39e-09,4.28e-08
"Regulation of ornithine decarboxylase (ODC)",49,22,42,3.39e-09,4.28e-08
"Toll Like Receptor 10 (TLR10) Cascade",74,33.2,58,3.54e-09,4.35e-08
"Toll Like Receptor 5 (TLR5) Cascade",74,33.2,58,3.54e-09,4.35e-08
"MyD88 cascade initiated on plasma membrane",74,33.2,58,3.54e-09,4.35e-08
"ER-Phagosome pathway",63,28.3,51,4.09e-09,4.99e-08
"Cytosolic tRNA aminoacylation",24,10.8,24,4.32e-09,5.19e-08
"APC/C:Cdc20 mediated degradation of Securin",71,31.9,56,4.33e-09,5.19e-08
"Signaling by ERBB2",164,73.7,110,5.86e-09,6.96e-08
"Chaperonin-mediated protein folding",51,22.9,43,6.32e-09,7.44e-08
"mRNA Splicing - Minor Pathway",45,20.2,39,6.46e-09,7.54e-08
